serial_num,species,lib_type,srr_number,title,A1,C1,G1,T1,N1,A2,C2,G2,T2,N2,A3,C3,G3,T3,N3,A4,C4,G4,T4,N4,A5,C5,G5,T5,N5,A6,C6,G6,T6,N6,A7,C7,G7,T7,N7,A8,C8,G8,T8,N8,A9,C9,G9,T9,N9,A10,C10,G10,T10,N10,A11,C11,G11,T11,N11,A12,C12,G12,T12,N12,A13,C13,G13,T13,N13,A14,C14,G14,T14,N14,A15,C15,G15,T15,N15,A16,C16,G16,T16,N16,A17,C17,G17,T17,N17,A18,C18,G18,T18,N18,A19,C19,G19,T19,N19,A20,C20,G20,T20,N20,A21,C21,G21,T21,N21,A22,C22,G22,T22,N22,A23,C23,G23,T23,N23,A24,C24,G24,T24,N24,A25,C25,G25,T25,N25,A26,C26,G26,T26,N26,A27,C27,G27,T27,N27,A28,C28,G28,T28,N28,A29,C29,G29,T29,N29,A30,C30,G30,T30,N30,A31,C31,G31,T31,N31,A32,C32,G32,T32,N32,A33,C33,G33,T33,N33,A34,C34,G34,T34,N34,A35,C35,G35,T35,N35,A36,C36,G36,T36,N36,A37,C37,G37,T37,N37,A38,C38,G38,T38,N38,A39,C39,G39,T39,N39,A40,C40,G40,T40,N40,A41,C41,G41,T41,N41,A42,C42,G42,T42,N42,A43,C43,G43,T43,N43,A44,C44,G44,T44,N44,A45,C45,G45,T45,N45,A46,C46,G46,T46,N46,A47,C47,G47,T47,N47,A48,C48,G48,T48,N48,A49,C49,G49,T49,N49,A50,C50,G50,T50,N50
1,Mus musculus,RNA-Seq,SRR12478073,Transcriptome analysis of the TA muscles from WT and Dmd Exon 51 Knockout mice,9,36,42,14,0,13,30,20,37,0,18,32,22,27,0,27,24,27,22,0,25,20,28,27,0,30,18,23,27,2,20,15,19,46,0,20,22,25,32,0,21,21,24,34,0,32,19,23,27,0,26,21,28,25,0,22,24,22,32,0,22,21,25,32,0,24,21,25,30,0,23,23,25,29,0,25,21,24,31,0,27,20,24,29,0,28,20,25,27,0,22,23,25,31,0,23,26,23,29,0,24,22,25,29,0,25,20,24,32,0,24,21,25,30,0,26,21,25,28,0,28,20,23,30,0,27,21,25,28,0,25,20,24,30,1,21,21,25,31,2,25,23,24,26,2,23,22,23,30,4,25,21,21,30,4,22,21,22,30,5,25,19,24,28,5,24,19,24,27,7,26,22,19,27,7,24,20,23,26,7,21,19,24,28,8,22,22,22,26,8,27,19,22,25,8,21,20,26,25,8,22,22,20,27,8,23,21,20,28,8,23,23,20,25,9,23,20,22,27,8,24,18,24,26,9,22,21,23,25,9,24,22,21,25,8,22,21,22,28,7,21,19,25,30,6,22,22,25,26,6
2,Mus musculus,RNA-Seq,SRR12926516,Prenatal exposure to environmental toxins induces sexually dimorphic transcriptome changes in neonatal offspring,8,44,31,11,7,13,28,19,40,0,17,42,21,20,0,24,31,23,22,0,27,20,28,25,0,31,17,25,27,0,20,22,20,39,0,20,26,24,30,0,21,24,23,32,0,31,20,24,25,0,23,27,28,22,0,21,23,30,26,0,21,25,26,28,0,26,22,27,26,0,24,22,25,28,0,21,25,28,25,0,22,26,24,28,0,25,23,24,28,0,25,25,25,24,0,26,24,25,25,0,25,25,24,26,0,26,26,25,23,0,25,26,25,24,0,16,11,59,14,0,22,25,27,26,0,24,24,26,26,0,27,26,25,22,0,23,27,25,25,0,26,24,25,26,0,25,27,24,24,0,25,26,25,25,0,25,26,23,26,0,24,27,23,26,0,25,23,27,25,0,24,26,25,25,0,25,24,24,27,0,22,28,24,26,0,24,27,23,26,0,25,23,25,27,0,23,24,28,26,0,26,23,26,25,0,25,26,27,22,0,25,25,24,25,0,23,27,25,25,0,23,26,26,26,0,25,25,27,24,0,21,25,29,25,0,26,27,24,23,0,22,28,24,26,0,25,25,25,26,0
